category,item_code,item_name,selling_price_aed,yield_portions,yield_label,ingredient,qty_as_purchased,unit,source_text
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,CTC black tea,27.5,g,500 ml Karak Concentrate
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,Green cardamom,2.25,g,500 ml Karak Concentrate
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,Cinnamon stick,0.75,g,500 ml Karak Concentrate
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,Saffron,0.05,g,500 ml Karak Concentrate
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,Evaporated milk,390,ml,
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,Condensed milk,85,g,
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,White sugar,45,g,
Tea Corner,52a,Karak Tea - Flask 1 L,35.00,1,serving,Disposable flask 1 L,1,ea,
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,CTC black tea,55,g,1000 ml Karak Concentrate
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,Green cardamom,4.5,g,1000 ml Karak Concentrate
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,Cinnamon stick,1.5,g,1000 ml Karak Concentrate
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,Saffron,0.1,g,1000 ml Karak Concentrate
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,Evaporated milk,780,ml,
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,Condensed milk,170,g,
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,White sugar,90,g,
Tea Corner,52b,Karak Tea - Flask 2 L,55.00,1,serving,Disposable flask 2 L,1,ea,
Tea Corner,53a,Coffee Milk - Flask 1 L,50.00,1,serving,Instant coffee,15,g,500 ml Coffee Milk Base
Tea Corner,53a,Coffee Milk - Flask 1 L,50.00,1,serving,Green cardamom,1,g,500 ml Coffee Milk Base
Tea Corner,53a,Coffee Milk - Flask 1 L,50.00,1,serving,Evaporated milk,380,ml,
Tea Corner,53a,Coffee Milk - Flask 1 L,50.00,1,serving,Condensed milk,90,g,
Tea Corner,53a,Coffee Milk - Flask 1 L,50.00,1,serving,White sugar,40,g,
Tea Corner,53a,Coffee Milk - Flask 1 L,50.00,1,serving,Disposable flask 1 L,1,ea,
Tea Corner,53b,Coffee Milk - Flask 2 L,60.00,1,serving,Instant coffee,30,g,1000 ml Coffee Milk Base
Tea Corner,53b,Coffee Milk - Flask 2 L,60.00,1,serving,Green cardamom,2,g,1000 ml Coffee Milk Base
Tea Corner,53b,Coffee Milk - Flask 2 L,60.00,1,serving,Evaporated milk,760,ml,
Tea Corner,53b,Coffee Milk - Flask 2 L,60.00,1,serving,Condensed milk,180,g,
Tea Corner,53b,Coffee Milk - Flask 2 L,60.00,1,serving,White sugar,80,g,
Tea Corner,53b,Coffee Milk - Flask 2 L,60.00,1,serving,Disposable flask 2 L,1,ea,
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,Habbat Al Hamra blend,24.75,g,550 ml Habbat Al Hamra Concentrate
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,Dry ginger,2.75,g,550 ml Habbat Al Hamra Concentrate
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,Cinnamon stick,2.063,g,550 ml Habbat Al Hamra Concentrate
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,Green cardamom,1.65,g,550 ml Habbat Al Hamra Concentrate
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,Evaporated milk,350,ml,
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,Condensed milk,80,g,
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,White sugar,40,g,
Tea Corner,54a,Habbat Al Hamra - Flask 1 L,50.00,1,serving,Disposable flask 1 L,1,ea,
Tea Corner,54b,Habbat Al Hamra - Flask 2 L,70.00,1,serving,Habbat Al Hamra blend,49.5,g,1100 ml Habbat Al Hamra Concentrate
Tea Corner,54b,Habbat Al Hamra - Flask 2 L,70.00,1,serving,Dry ginger,5.5,g,1100 ml Habbat Al Hamra Concentrate
Tea Corner,54b,Habbat Al Hamra - Flask 2 L,70.00,1,serving,Cinnamon stick,4.125,g,1100 ml Habbat Al Hamra Concentrate
Tea Corner,54b,Habbat Al Hamra - Flask 2 L,70.00,1,serving,Green cardamom,3.3,g,1100 ml Habbat Al Hamra Concentrate
