Outlet,Date,PLU,Item,Qty,Amount
AL QUSAIS,01/08/2026,1,KARAK TEA CUP,15,75.00
AL QUSAIS,01/08/2026,2,KARAK FLASK 1L,2,70.00
AL QUSAIS,01/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL QUSAIS,01/08/2026,4,NIDO TEA,18,144.00
AL QUSAIS,01/08/2026,5,PARATHA,18,54.00
AL QUSAIS,01/08/2026,DLV,DELIVERY CHARGE,8,40.00
AL QUSAIS,02/08/2026,1,KARAK TEA CUP,16,80.00
AL QUSAIS,02/08/2026,2,KARAK FLASK 1L,2,70.00
AL QUSAIS,02/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL QUSAIS,02/08/2026,4,NIDO TEA,13,104.00
AL QUSAIS,02/08/2026,5,PARATHA,21,63.00
AL QUSAIS,02/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL QUSAIS,03/08/2026,1,KARAK TEA CUP,16,80.00
AL QUSAIS,03/08/2026,2,KARAK FLASK 1L,2,70.00
AL QUSAIS,03/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL QUSAIS,03/08/2026,4,NIDO TEA,16,128.00
AL QUSAIS,03/08/2026,5,PARATHA,17,51.00
AL QUSAIS,03/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL QUSAIS,04/08/2026,1,KARAK TEA CUP,18,90.00
AL QUSAIS,04/08/2026,2,KARAK FLASK 1L,1,35.00
AL QUSAIS,04/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL QUSAIS,04/08/2026,4,NIDO TEA,11,88.00
AL QUSAIS,04/08/2026,5,PARATHA,21,63.00
AL QUSAIS,04/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL QUSAIS,05/08/2026,1,KARAK TEA CUP,11,55.00
AL QUSAIS,05/08/2026,2,KARAK FLASK 1L,2,70.00
AL QUSAIS,05/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL QUSAIS,05/08/2026,4,NIDO TEA,17,136.00
AL QUSAIS,05/08/2026,5,PARATHA,23,69.00
AL QUSAIS,05/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL QUSAIS,06/08/2026,1,KARAK TEA CUP,18,90.00
AL QUSAIS,06/08/2026,2,KARAK FLASK 1L,2,70.00
AL QUSAIS,06/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL QUSAIS,06/08/2026,4,NIDO TEA,17,136.00
AL QUSAIS,06/08/2026,5,PARATHA,17,51.00
AL QUSAIS,06/08/2026,DLV,DELIVERY CHARGE,6,30.00
AL QUSAIS,07/08/2026,1,KARAK TEA CUP,16,80.00
AL QUSAIS,07/08/2026,2,KARAK FLASK 1L,2,70.00
AL QUSAIS,07/08/2026,3,CARDAMOM CHAI 2L,1,55.00
AL QUSAIS,07/08/2026,4,NIDO TEA,17,136.00
