Outlet,Date,PLU,Item,Qty,Amount
AL QUSAIS,25/08/2026,52a,KARAK FLASK 1L,2,70.00
AL QUSAIS,25/08/2026,52b,KARAK FLASK 2L,1,55.00
AL QUSAIS,25/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
AL QUSAIS,25/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
AL QUSAIS,25/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
AL QUSAIS,25/08/2026,54b,HABBAT AL HAMRA 2L,2,140.00
AL QUSAIS,25/08/2026,55a,CAPPUCCINO SML,26,130.00
AL QUSAIS,25/08/2026,55b,CAPPUCCINO LRG,24,192.00
AL QUSAIS,25/08/2026,56a,SAHALAB SML,23,115.00
AL QUSAIS,25/08/2026,56b,SAHALAB LRG,21,168.00
AL QUSAIS,25/08/2026,57a,KASHMIRI TEA SML,25,125.00
AL QUSAIS,25/08/2026,57b,KASHMIRI TEA LRG,17,136.00
AL QUSAIS,25/08/2026,58a,BOOST SML,26,130.00
AL QUSAIS,25/08/2026,58b,BOOST LRG,26,208.00
AL QUSAIS,25/08/2026,59a,HORLICKS SML,25,125.00
AL QUSAIS,25/08/2026,59b,HORLICKS LRG,25,200.00
AL QUSAIS,25/08/2026,60a,HOT CHOC SML,20,100.00
AL QUSAIS,25/08/2026,60b,HOT CHOC LRG,18,144.00
AL QUSAIS,25/08/2026,61,HONEY CAKE,8,88.00
AL QUSAIS,25/08/2026,62,ZAFRAN CAKE,5,70.00
AL QUSAIS,25/08/2026,63,LOTUS CAKE,6,66.00
AL QUSAIS,25/08/2026,64a,KARAK DELIVERY S,23,34.50
AL QUSAIS,25/08/2026,64b,KARAK DELIVERY M,34,102.00
AL QUSAIS,25/08/2026,64c,KARAK DELIVERY L,20,100.00
AL QUSAIS,25/08/2026,126,B/CHKN,3,51.00
AL QUSAIS,25/08/2026,127,CHKN WINGS,5,90.00
AL QUSAIS,25/08/2026,128,CHKN 65 DRY,4,68.00
AL QUSAIS,25/08/2026,129,DAL FRY,7,70.00
AL QUSAIS,25/08/2026,130,GREEN PEAS MSL,7,70.00
AL QUSAIS,25/08/2026,131,CHKN CHILLI,5,85.00
AL QUSAIS,25/08/2026,132,BEEF MSL,6,102.00
AL QUSAIS,25/08/2026,133,PRAWNS MSL,5,85.00
AL QUSAIS,25/08/2026,134,GARLIC CHKN,6,102.00
AL QUSAIS,25/08/2026,135,MTR MSHRM,5,75.00
AL QUSAIS,25/08/2026,136,PNR KADAI,4,60.00
AL QUSAIS,25/08/2026,137,PALAK PNR,6,72.00
AL QUSAIS,25/08/2026,138,MSHRM MSL,6,60.00
AL QUSAIS,25/08/2026,139,CHKN KADAI,5,80.00
AL QUSAIS,25/08/2026,140,PNR BTR MSL,4,68.00
AL QUSAIS,25/08/2026,141,PRAWNS CHILLI,5,85.00
AL QUSAIS,25/08/2026,142,CHILLI PNR,4,68.00
AL QUSAIS,25/08/2026,143,MTR PNR,4,68.00
AL QUSAIS,25/08/2026,144,CHKN MANCHURIAN,4,68.00
AL QUSAIS,25/08/2026,145,GOBI MSL,4,68.00
AL QUSAIS,25/08/2026,146,PEPPER CHKN,6,102.00
AL QUSAIS,25/08/2026,DLV,DELIVERY CHARGE,5,25.00
AL QUSAIS,26/08/2026,52a,KARAK FLASK 1L,3,105.00
AL QUSAIS,26/08/2026,52b,KARAK FLASK 2L,1,55.00
