item,category,selling price,yield portions,yield label,ingredient,qty,unit,source text
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,Water,550,ml,500 ml Karak Concentrate
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,CTC black tea,27.5,g,500 ml Karak Concentrate
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,Green cardamom,2.25,g,500 ml Karak Concentrate
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,Cinnamon stick,0.75,g,500 ml Karak Concentrate
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,Saffron,0.05,g,500 ml Karak Concentrate
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,Evaporated milk,390,ml,
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,Condensed milk,85,g,
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,White sugar,45,g,
Karak Tea - Flask 1 L,Tea Corner,35.00,1,serving,Disposable flask 1 L,1,ea,
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,Water,1100,ml,1000 ml Karak Concentrate
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,CTC black tea,55,g,1000 ml Karak Concentrate
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,Green cardamom,4.5,g,1000 ml Karak Concentrate
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,Cinnamon stick,1.5,g,1000 ml Karak Concentrate
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,Saffron,0.1,g,1000 ml Karak Concentrate
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,Evaporated milk,780,ml,
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,Condensed milk,170,g,
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,White sugar,90,g,
Karak Tea - Flask 2 L,Tea Corner,55.00,1,serving,Disposable flask 2 L,1,ea,
Coffee Milk - Flask 1 L,Tea Corner,50.00,1,serving,Water,525,ml,500 ml Coffee Milk Base
Coffee Milk - Flask 1 L,Tea Corner,50.00,1,serving,Instant coffee,15,g,500 ml Coffee Milk Base
Coffee Milk - Flask 1 L,Tea Corner,50.00,1,serving,Green cardamom,1,g,500 ml Coffee Milk Base
Coffee Milk - Flask 1 L,Tea Corner,50.00,1,serving,Evaporated milk,380,ml,
Coffee Milk - Flask 1 L,Tea Corner,50.00,1,serving,Condensed milk,90,g,
Coffee Milk - Flask 1 L,Tea Corner,50.00,1,serving,White sugar,40,g,
Coffee Milk - Flask 1 L,Tea Corner,50.00,1,serving,Disposable flask 1 L,1,ea,
Coffee Milk - Flask 2 L,Tea Corner,60.00,1,serving,Water,1050,ml,1000 ml Coffee Milk Base
Coffee Milk - Flask 2 L,Tea Corner,60.00,1,serving,Instant coffee,30,g,1000 ml Coffee Milk Base
Coffee Milk - Flask 2 L,Tea Corner,60.00,1,serving,Green cardamom,2,g,1000 ml Coffee Milk Base
Coffee Milk - Flask 2 L,Tea Corner,60.00,1,serving,Evaporated milk,760,ml,
Coffee Milk - Flask 2 L,Tea Corner,60.00,1,serving,Condensed milk,180,g,
Coffee Milk - Flask 2 L,Tea Corner,60.00,1,serving,White sugar,80,g,
Coffee Milk - Flask 2 L,Tea Corner,60.00,1,serving,Disposable flask 2 L,1,ea,
Habbat Al Hamra - Flask 1 L,Tea Corner,50.00,1,serving,Water,618.75,ml,550 ml Habbat Al Hamra Concentrate
